region,month,indicator,value
충남,2021-03-01,매출액현황,88.0
충북,2021-03-01,매출액현황,86.0
전국,2021-03-01,매출액전망,90.0
서울,2021-03-01,매출액전망,84.0
부산,2021-03-01,매출액전망,87.0
대구,2021-03-01,매출액전망,78.0
인천,2021-03-01,매출액전망,93.0
광주,2021-03-01,매출액전망,98.0
대전,2021-03-01,매출액전망,102.0
울산,2021-03-01,매출액전망,99.0
강원,2021-03-01,매출액전망,94.0
경기,2021-03-01,매출액전망,87.0
경남,2021-03-01,매출액전망,88.0
경북,2021-03-01,매출액전망,92.0
전남,2021-03-01,매출액전망,91.0
전북,2021-03-01,매출액전망,99.0
충남,2021-03-01,매출액전망,94.0
충북,2021-03-01,매출액전망,87.0
전국,2021-03-01,국내시장출하현황,83.0
서울,2021-03-01,국내시장출하현황,81.0
